Term name	P-D Coefficient
monosaccharide transmembrane transporter activity	0.448
endopeptidase inhibitor activity	0.448
carbon-nitrogen lyase activity	0.448
substrate-specific transmembrane transporter activity	0.448
tripeptide transporter activity	0.448
LBD domain binding	0.447
clathrin heavy chain binding	0.447
MHC class I protein binding	0.446
transforming growth factor beta receptor binding	0.446
intracellular ligand-gated calcium channel activity	0.445
oligosaccharide transmembrane transporter activity	0.445
inorganic anion transmembrane transporter activity	0.445
ATPase activator activity	0.445
coenzyme binding	0.445
histone demethylase activity (H3-K27 specific)	0.445
protein phosphatase type 4 regulator activity	0.444
modified amino acid binding	0.444
store-operated calcium channel activity	0.444
WW domain binding	0.444
tetrapyrrole binding	0.444
dehydroascorbic acid transporter activity	0.443
translation release factor activity, codon nonspecific	0.443
transmembrane transporter activity	0.443
GTP binding	0.443
metalloenzyme regulator activity	0.443
cholesterol transporter activity	0.443
aldehyde-lyase activity	0.443
nucleobase transmembrane transporter activity	0.443
3'-5' DNA helicase activity	0.442
disaccharide transmembrane transporter activity	0.442
urea transmembrane transporter activity	0.442
cAMP binding	0.442
adrenergic receptor binding	0.441
hormone receptor binding	0.441
phosphatidylglycerol binding	0.440
cardiolipin binding	0.440
symporter activity	0.440
long-chain fatty acid binding	0.440
aspartic-type peptidase activity	0.440
ribonucleoprotein complex binding	0.439
ammonia-lyase activity	0.439
hydrolase activity, hydrolyzing O-glycosyl compounds	0.439
histone demethylase activity (H3-K4 specific)	0.439
oxidoreductase activity, acting on the CH-NH group of donors	0.439
lipid transporter activity	0.439
nuclear hormone receptor binding	0.438
G-protein coupled receptor binding	0.438
inositol 1,4,5 trisphosphate binding	0.438
carbon-oxygen lyase activity	0.438
monovalent inorganic cation transmembrane transporter activity	0.437
snRNA binding	0.437
growth factor binding	0.437
GABA receptor binding	0.437
transporter activity	0.436
ribosome binding	0.435
nucleosome binding	0.435
type II transforming growth factor beta receptor binding	0.435
histone demethylase activity (H4-K20 specific)	0.435
lipase activity	0.434
DNA replication origin binding	0.434
carbonate dehydratase activity	0.434
spectrin binding	0.433
amide binding	0.433
cyclin-dependent protein serine/threonine kinase inhibitor activity	0.433
antiporter activity	0.433
sucrose transmembrane transporter activity	0.433
SSU rRNA binding	0.432
peptide binding	0.432
UDP-glucose 4-epimerase activity	0.432
cystathionine beta-lyase activity	0.432
intramolecular transferase activity	0.432
p53 binding	0.431
deoxyribonuclease activity	0.431
RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity	0.431
inorganic phosphate transmembrane transporter activity	0.430
aspartate-tRNA ligase activity	0.430
prenyltransferase activity	0.429
extracellular matrix binding	0.429
intramolecular oxidoreductase activity, transposing C=C bonds	0.429
ATPase activity, coupled to movement of substances	0.429
GMP binding	0.429
beta-3 adrenergic receptor binding	0.428
histone demethylase activity (H3-dimethyl-K4 specific)	0.428
pattern recognition receptor activity	0.428
adenylosuccinate synthase activity	0.428
phosphoglucomutase activity	0.428
aspartic-type endopeptidase activity	0.427
protein phosphatase type 1 regulator activity	0.427
phospholipase activity	0.427
Ras GTPase binding	0.427
signaling adaptor activity	0.427
tryptophan synthase activity	0.427
cysteine desulfurase activity	0.426
2 iron, 2 sulfur cluster binding	0.426
histone demethylase activity (H3-trimethyl-K4 specific)	0.426
protein serine/threonine kinase activator activity	0.426
methyl-CpG binding	0.425
very-low-density lipoprotein particle receptor binding	0.425
phosphate transmembrane transporter activity	0.425
apolipoprotein receptor binding	0.425
microsatellite binding	0.425
structural constituent of ribosome	0.425
demethylase activity	0.425
electron carrier activity	0.424
choline transmembrane transporter activity	0.424
carboxy-lyase activity	0.424
nucleosomal histone binding	0.424
cysteine synthase activity	0.424
organic anion transmembrane transporter activity	0.424
glutamate decarboxylase activity	0.424
G-protein coupled receptor activity	0.424
acylglycerol O-acyltransferase activity	0.424
RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	0.424
T cell receptor binding	0.423
chloride transmembrane transporter activity	0.423
monoamine transmembrane transporter activity	0.422
exonuclease activity	0.422
very long-chain fatty acid-CoA ligase activity	0.422
channel inhibitor activity	0.422
O-acyltransferase activity	0.421
receptor signaling protein activity	0.421
ion channel inhibitor activity	0.421
glucosidase activity	0.421
RNA binding	0.421
organic acid transmembrane transporter activity	0.420
endonuclease activity	0.420
high affinity oligopeptide transporter activity	0.420
racemase and epimerase activity	0.420
peptidase regulator activity	0.420
double-stranded DNA binding	0.420
ammonium transmembrane transporter activity	0.420
ligase activity, forming carbon-sulfur bonds	0.419
6-pyruvoyltetrahydropterin synthase activity	0.419
solute:cation antiporter activity	0.419
linoleic acid binding	0.419
kinase regulator activity	0.419
galactosyltransferase activity	0.419
mRNA binding	0.418
thyroid hormone receptor binding	0.418
sodium ion transmembrane transporter activity	0.418
proline-rich region binding	0.418
metalloenzyme inhibitor activity	0.418
nitrate transmembrane transporter activity	0.417
RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity	0.417
iron ion transmembrane transporter activity	0.417
arginine decarboxylase activity	0.417
sulfur compound transmembrane transporter activity	0.417
fatty acid ligase activity	0.417
GPI-anchor transamidase activity	0.416
receptor activity	0.416
Rab guanyl-nucleotide exchange factor activity	0.416
Rac guanyl-nucleotide exchange factor activity	0.416
magnesium ion binding	0.416
cation:cation antiporter activity	0.416
farnesyltranstransferase activity	0.416
steroid binding	0.416
carboxylic acid binding	0.416
RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	0.415
alanine-tRNA ligase activity	0.415
succinate-CoA ligase activity	0.415
aspartate-tRNA(Asn) ligase activity	0.415
small conjugating protein binding	0.415
protein kinase activator activity	0.414
nuclease activity	0.414
kinase inhibitor activity	0.414
cargo receptor activity	0.414
long-chain fatty acid-CoA ligase activity	0.414
endopeptidase activity	0.414
thiamine pyrophosphate binding	0.414
succinate-CoA ligase (ADP-forming) activity	0.413
kinase activator activity	0.413
growth factor receptor binding	0.413
structural constituent of muscle	0.413
folic acid transporter activity	0.413
protein kinase regulator activity	0.413
alditol:NADP+ 1-oxidoreductase activity	0.413
telomeric RNA binding	0.413
phosphoric diester hydrolase activity	0.413
poly-pyrimidine tract binding	0.413
tRNA binding	0.412
selenocysteine lyase activity	0.412
receptor agonist activity	0.412
endodeoxyribonuclease activity	0.412
photoreceptor activity	0.412
cytokine activity	0.412
RNA polymerase II transcription factor binding transcription factor activity	0.412
indole-3-glycerol-phosphate synthase activity	0.412
racemase and epimerase activity, acting on carbohydrates and derivatives	0.411
basic amino acid transmembrane transporter activity	0.411
microtubule minus-end binding	0.411
translation factor activity, nucleic acid binding	0.411
serine-type peptidase activity	0.411
uridine-diphosphatase activity	0.411
phosphopantothenoylcysteine decarboxylase activity	0.410
glycoprotein binding	0.410
poly(U) RNA binding	0.410
ribonuclease activity	0.410
receptor antagonist activity	0.410
polyubiquitin binding	0.410
cysteine-type endopeptidase activity	0.410
solute:cation symporter activity	0.410
cofactor transporter activity	0.410
L-glutamine aminotransferase activity	0.409
RNA polymerase II transcription cofactor activity	0.409
RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription	0.409
RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription	0.409
ceramidase activity	0.409
receptor regulator activity	0.409
metalloexopeptidase activity	0.409
G-protein coupled amine receptor activity	0.408
GTPase binding	0.408
small GTPase binding	0.408
RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription	0.408
DNA topoisomerase activity	0.408
RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription	0.408
ubiquitin binding	0.407
arogenate dehydratase activity	0.407
inorganic diphosphate transmembrane transporter activity	0.407
hepoxilin A3 synthase activity	0.407
protein kinase A regulatory subunit binding	0.407
isopeptidase activity	0.407
sequence-specific DNA binding RNA polymerase II transcription factor activity	0.407
exoribonuclease activity	0.407
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	0.407
DNA topoisomerase II activity	0.407
macrophage colony-stimulating factor receptor binding	0.406
ubiquitin-protein ligase inhibitor activity	0.406
structural constituent of cytoskeleton	0.406
ligand-gated sodium channel activity	0.406
glutamine-fructose-6-phosphate transaminase (isomerizing) activity	0.406
Rho GTPase binding	0.405
manganese ion transmembrane transporter activity	0.405
protein kinase inhibitor activity	0.405
microfilament motor activity	0.405
methyl salicylate esterase activity	0.405
core promoter proximal region DNA binding	0.405
hydrolase activity, acting on glycosyl bonds	0.405
protein kinase A binding	0.405
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor	0.405
phenylalanine ammonia-lyase activity	0.404
NADP binding	0.404
beta-1,3-galactosyltransferase activity	0.404
beta-glucosidase activity	0.404
purine nucleobase transmembrane transporter activity	0.404
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	0.404
steroid delta-isomerase activity	0.404
actin binding	0.404
carbohydrate phosphatase activity	0.404
histone demethylase activity	0.404
aminopeptidase activity	0.403
deoxyribose-phosphate aldolase activity	0.403
oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor	0.403
intramolecular transferase activity, transferring acyl groups	0.403
6,7-dimethyl-8-ribityllumazine synthase activity	0.403
purine NTP-dependent helicase activity	0.403
calcium-dependent protein binding	0.403
serine-type endopeptidase activity	0.403
DNA topoisomerase type I activity	0.403
damaged DNA binding	0.403
heme binding	0.403
L-ascorbic acid transporter activity	0.402
unfolded protein binding	0.402
helicase activity	0.402
transcription factor binding	0.402
cytoskeletal adaptor activity	0.401
actin-dependent ATPase activity	0.401
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	0.401
large conductance calcium-activated potassium channel activity	0.401
malate dehydrogenase activity	0.401
cysteine-type endopeptidase inhibitor activity	0.400
methylated histone residue binding	0.400
hydro-lyase activity	0.400
SUMO binding	0.400
amino acid binding	0.400
basal transcription machinery binding	0.400
chondroitin-glucuronate 5-epimerase activity	0.400
nucleocytoplasmic transporter activity	0.400
methyl indole-3-acetate esterase activity	0.400
chromatin binding	0.400
metal cluster binding	0.400
iron-sulfur cluster binding	0.400
transferase activity, transferring nitrogenous groups	0.399
gamma-glutamyltransferase activity	0.399
deaminase activity	0.399
basal RNA polymerase II transcription machinery binding	0.399
phosphotransferase activity, nitrogenous group as acceptor	0.399
phosphatidylinositol-3,4,5-trisphosphate binding	0.399
channel regulator activity	0.399
RNA helicase activity	0.399
amide transmembrane transporter activity	0.399
transaminase activity	0.399
kinase binding	0.399
tubulin binding	0.398
lysozyme activity	0.398
lipoprotein lipase activator activity	0.398
mannosidase activity	0.398
oxidoreductase activity	0.398
ligand-dependent nuclear receptor transcription coactivator activity	0.398
hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	0.398
thyroid hormone receptor activator activity	0.398
sugar-phosphatase activity	0.397
protein kinase binding	0.397
ARF guanyl-nucleotide exchange factor activity	0.397
SH3/SH2 adaptor activity	0.397
methyl jasmonate esterase activity	0.397
oxidoreductase activity, acting on other nitrogenous compounds as donors	0.397
3'-5' exonuclease activity	0.396
protein-succinyllysine desuccinylase activity	0.396
protein-malonyllysine demalonylase activity	0.396
farnesyl-diphosphate farnesyltransferase activity	0.396
rDNA binding	0.396
hydrogen ion transmembrane transporter activity	0.396
galactosidase activity	0.396
beta-N-acetylhexosaminidase activity	0.395
RNA polymerase binding	0.395
purine nucleotide transmembrane transporter activity	0.395
exopeptidase activity	0.395
mismatch repair complex binding	0.395
laminin binding	0.395
phosphotyrosine binding	0.395
isoprenoid binding	0.395
antioxidant activity	0.395
beta-catenin binding	0.394
methionine adenosyltransferase activity	0.394
phosphoprotein binding	0.394
aspartic endopeptidase activity, intramembrane cleaving	0.394
ligase activity, forming carbon-oxygen bonds	0.394
spermidine synthase activity	0.394
ATPase activity, coupled	0.394
ligase activity, forming aminoacyl-tRNA and related compounds	0.394
aminoacyl-tRNA ligase activity	0.394
GTPase inhibitor activity	0.394
ATP-dependent helicase activity	0.393
protein phosphatase type 2A regulator activity	0.393
adenine nucleotide transmembrane transporter activity	0.393
red or far-red light photoreceptor activity	0.393
RNA polymerase core enzyme binding	0.393
RNA polymerase II transcription coactivator activity	0.393
nucleic acid binding	0.393
histone binding	0.393
transferase activity, transferring hexosyl groups	0.393
nucleoside transmembrane transporter activity	0.393
acyl-CoA oxidase activity	0.393
MutSalpha complex binding	0.393
protein homodimerization activity	0.392
translation initiation factor activity	0.392
calcium-dependent protein kinase activity	0.392
phosphate ion transmembrane transporter activity	0.392
transcription regulatory region sequence-specific DNA binding	0.392
RNA-dependent ATPase activity	0.392
glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity	0.392
purine nucleoside transmembrane transporter activity	0.392
transferase activity, transferring amino-acyl groups	0.392
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in nitriles	0.391
nitrilase activity	0.391
sialyltransferase activity	0.391
single-stranded RNA binding	0.391
GTP-Rho binding	0.391
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	0.391
phosphatase regulator activity	0.391
glycerol-3-phosphate O-acyltransferase activity	0.391
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	0.390
RNA polymerase II transcription corepressor activity	0.390
receptor activator activity	0.390
protein phosphatase regulator activity	0.390
DNA helicase activity	0.390
miRNA binding	0.389
protein binding, bridging	0.389
DNA secondary structure binding	0.389
scavenger receptor activity	0.389
oxidoreductase activity, oxidizing metal ions	0.389
monocarboxylic acid transmembrane transporter activity	0.389
protein disulfide oxidoreductase activity	0.389
protein C-terminus binding	0.388
small conjugating protein-specific protease activity	0.388
malic enzyme activity	0.388
AU-rich element binding	0.388
NAD(P)H oxidase activity	0.388
DNA-dependent ATPase activity	0.388
oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	0.387
transforming growth factor beta binding	0.387
metalloaminopeptidase activity	0.387
cyclic-nucleotide phosphodiesterase activity	0.387
ATPase activity	0.387
Rab GTPase binding	0.387
aminocarboxymuconate-semialdehyde decarboxylase activity	0.387
fatty acid alpha-hydroxylase activity	0.387
binding, bridging	0.386
microtubule plus-end binding	0.386
sequence-specific DNA binding	0.386
cysteine-type peptidase activity	0.386
beta-galactosidase activity	0.386
O-methyltransferase activity	0.385
metalloendopeptidase inhibitor activity	0.385
tRNA dimethylallyltransferase activity	0.385
serotonin receptor activity	0.385
SNARE binding	0.385
zinc ion binding	0.385
nucleotidase activity	0.385
K63-linked polyubiquitin binding	0.385
phosphatidylinositol phosphate binding	0.385
ubiquitin-specific protease activity	0.384
oxidoreductase activity, oxidizing metal ions, oxygen as acceptor	0.384
ferroxidase activity	0.384
histone acetyl-lysine binding	0.384
oxidoreductase activity, acting on the CH-CH group of donors	0.384
leucine-tRNA ligase activity	0.384
core promoter proximal region sequence-specific DNA binding	0.384
calcium-dependent cysteine-type endopeptidase activity	0.384
alpha-mannosidase activity	0.384
oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor	0.383
3',5'-cyclic-nucleotide phosphodiesterase activity	0.383
endoribonuclease activity	0.383
oxidoreductase activity, acting on CH-OH group of donors	0.383
glutamyl-tRNA reductase activity	0.383
identical protein binding	0.383
cytokine receptor activity	0.383
single-stranded telomeric DNA binding	0.383
glutamate receptor activity	0.383
pyrimidine nucleoside binding	0.383
small GTPase regulator activity	0.382
m7G(5')pppN diphosphatase activity	0.382
alanine-glyoxylate transaminase activity	0.382
dioxygenase activity	0.382
voltage-gated potassium channel activity	0.382
intramolecular transferase activity, phosphotransferases	0.382
structure-specific DNA binding	0.382
pyrimidine ribonucleoside binding	0.382
oxidoreductase activity, acting on a sulfur group of donors	0.381
interleukin-1, Type II receptor binding	0.381
syntaxin binding	0.381
DNA-directed DNA polymerase activity	0.381
nucleotide transmembrane transporter activity	0.381
organic hydroxy compound transmembrane transporter activity	0.381
SMAD binding	0.381
sodium channel regulator activity	0.381
ferric-chelate reductase activity	0.381
oxygen binding	0.381
voltage-gated calcium channel activity	0.380
MutLalpha complex binding	0.380
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	0.380
Rho GTPase activator activity	0.379
voltage-gated cation channel activity	0.379
voltage-gated channel activity	0.379
deoxynucleoside kinase activity	0.379
epidermal growth factor receptor binding	0.379
protein domain specific binding	0.379
metalloendopeptidase activity	0.379
L-gulonate 3-dehydrogenase activity	0.379
RNA polymerase II regulatory region DNA binding	0.379
protein dimerization activity	0.378
fructose 1,6-bisphosphate 1-phosphatase activity	0.378
3'-5'-exoribonuclease activity	0.378
protein serine/threonine kinase inhibitor activity	0.378
L-pipecolate oxidase activity	0.377
sarcosine oxidase activity	0.377
polyprenyldihydroxybenzoate methyltransferase activity	0.377
hexaprenyldihydroxybenzoate methyltransferase activity	0.377
carbon-sulfur lyase activity	0.377
thioglucosidase activity	0.377
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	0.377
succinate dehydrogenase activity	0.377
protein heterodimerization activity	0.376
transforming growth factor beta receptor, cytoplasmic mediator activity	0.376
1-acylglycerophosphocholine O-acyltransferase activity	0.376
small conjugating protein-specific isopeptidase activity	0.376
phosphatidylinositol phosphate kinase activity	0.376
peptide receptor activity	0.375
trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity	0.375
single-stranded DNA binding	0.375
malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity	0.375
oxidoreductase activity, acting on the aldehyde or oxo group of donors	0.375
extracellular ligand-gated ion channel activity	0.375
interleukin-1 receptor antagonist activity	0.375
chemokine receptor binding	0.375
transcription factor recruiting transcription factor activity	0.375
alpha-1,3-mannosyltransferase activity	0.374
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0.374
G-quadruplex DNA binding	0.374
peptide-methionine (R)-S-oxide reductase activity	0.374
diolein transacylation activity	0.374
mono-olein transacylation activity	0.374
alanine transmembrane transporter activity	0.374
plus-end directed microfilament motor activity	0.374
enhancer binding	0.374
lipoprotein particle receptor binding	0.374
guanyl-nucleotide exchange factor activity	0.373
protein serine/threonine phosphatase inhibitor activity	0.373
nucleotide receptor activity	0.373
dolichyl-phosphate-mannose-protein mannosyltransferase activity	0.373
exoribonuclease activity, producing 5'-phosphomonoesters	0.373
SUMO polymer binding	0.372
protein histidine kinase activity	0.372
Ras GTPase activator activity	0.372
carboxypeptidase activity	0.372
5'-nucleotidase activity	0.372
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	0.372
phosphatidylinositol-4,5-bisphosphate binding	0.372
1-phosphatidylinositol binding	0.372
Rac GTPase activator activity	0.372
phospholipase A2 activity	0.372
oligosaccharyl transferase activity	0.372
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	0.371
GDP binding	0.371
transmembrane signaling receptor activity	0.371
bubble DNA binding	0.371
chloride channel regulator activity	0.371
protein phosphorylated amino acid binding	0.371
DNA binding, bending	0.370
lipase activator activity	0.370
oxidoreductase activity, acting on superoxide radicals as acceptor	0.370
mannosyl-oligosaccharide mannosidase activity	0.370
chloride channel activity	0.370
oxygen evolving activity	0.370
peptide-methionine (S)-S-oxide reductase activity	0.370
N-acetyllactosaminide alpha-2,3-sialyltransferase activity	0.370
monooxygenase activity	0.370
dolichyl-diphosphooligosaccharide-protein glycotransferase activity	0.370
icosanoid receptor activity	0.370
cinnamyl-alcohol dehydrogenase activity	0.370
small protein activating enzyme activity	0.369
organic cyclic compound binding	0.369
1-phosphatidylinositol-4-phosphate 5-kinase activity	0.369
endoribonuclease activity, producing 5'-phosphomonoesters	0.369
phosphatase binding	0.369
acid-thiol ligase activity	0.369
ligand-dependent nuclear receptor binding	0.369
pantothenate kinase activity	0.369
purinergic receptor activity	0.369
phosphoserine phosphatase activity	0.369
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	0.368
mRNA methyltransferase activity	0.368
UDP-glycosyltransferase activity	0.368
pyrimidine nucleotide binding	0.368
phosphatidylinositol-3-phosphate binding	0.368
lamin binding	0.367
calcium channel inhibitor activity	0.367
heterocyclic compound binding	0.367
solute:hydrogen antiporter activity	0.367
cyclosporin A binding	0.367
guanylate cyclase activity	0.367
RNA polymerase II transcription factor binding	0.367
carboxylic acid transmembrane transporter activity	0.367
triglyceride lipase activity	0.367
palmitoyl-CoA hydrolase activity	0.367
nitrate reductase activity	0.367
centromeric DNA binding	0.366
nuclear localization sequence binding	0.366
small conjugating protein ligase binding	0.366
ubiquitin protein ligase binding	0.366
sodium channel activity	0.366
dolichol kinase activity	0.366
regulatory region nucleic acid binding	0.366
3-dehydrosphinganine reductase activity	0.366
ATP-dependent RNA helicase activity	0.366
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	0.366
signal sequence binding	0.366
core promoter binding	0.366
phospholipid transporter activity	0.365
eukaryotic translation initiation factor 2alpha kinase activity	0.365
NAD binding	0.365
phosphoric ester hydrolase activity	0.365
Wnt-activated receptor activity	0.365
drug binding	0.365
bile acid binding	0.365
alpha-(1->3)-fucosyltransferase activity	0.365
RNA polymerase I transcription factor binding transcription factor activity	0.365
tRNA-specific ribonuclease activity	0.365
pyrimidine ribonucleotide binding	0.365
protein serine/threonine phosphatase activity	0.364
voltage-gated ion channel activity	0.364
fibronectin binding	0.364
single-stranded DNA specific endodeoxyribonuclease activity	0.364
very-low-density lipoprotein particle receptor activity	0.364
phospholipid binding	0.363
androsterone dehydrogenase activity	0.363
CoA-ligase activity	0.363
phosphatidylinositol-3,4-bisphosphate binding	0.363
rhodopsin kinase activity	0.363
virion binding	0.363
regulatory region DNA binding	0.363
protein adenylyltransferase activity	0.363
protein methyltransferase activity	0.363
phenylalanine-tRNA ligase activity	0.362
